INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (1, 'Stanowisko_1', 8133.88, 'Zakres obowiazkow_1');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (18, 'Stanowisko_18', 4206.93, 'Zakres obowiazkow_18');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (19, 'Stanowisko_19', 3533.1, 'Zakres obowiazkow_19');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (20, 'Stanowisko_20', 6167.51, 'Zakres obowiazkow_20');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (21, 'Stanowisko_21', 3200.42, 'Zakres obowiazkow_21');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (22, 'Stanowisko_22', 5971.48, 'Zakres obowiazkow_22');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (23, 'Stanowisko_23', 6780.53, 'Zakres obowiazkow_23');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (24, 'Stanowisko_24', 8400.74, 'Zakres obowiazkow_24');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (25, 'Stanowisko_25', 5714.46, 'Zakres obowiazkow_25');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (26, 'Stanowisko_26', 6211.19, 'Zakres obowiazkow_26');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (27, 'Stanowisko_27', 7724.41, 'Zakres obowiazkow_27');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (28, 'Stanowisko_28', 4278.13, 'Zakres obowiazkow_28');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (29, 'Stanowisko_29', 7276.78, 'Zakres obowiazkow_29');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (30, 'Stanowisko_30', 7715.98, 'Zakres obowiazkow_30');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (31, 'Stanowisko_31', 6339.47, 'Zakres obowiazkow_31');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (32, 'Stanowisko_32', 8168.8, 'Zakres obowiazkow_32');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (33, 'Stanowisko_33', 7368.29, 'Zakres obowiazkow_33');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (34, 'Stanowisko_34', 7271.62, 'Zakres obowiazkow_34');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (35, 'Stanowisko_35', 4679.4, 'Zakres obowiazkow_35');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (36, 'Stanowisko_36', 8382.46, 'Zakres obowiazkow_36');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (37, 'Stanowisko_37', 6146.13, 'Zakres obowiazkow_37');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (38, 'Stanowisko_38', 4681.48, 'Zakres obowiazkow_38');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (39, 'Stanowisko_39', 8359.61, 'Zakres obowiazkow_39');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (40, 'Stanowisko_40', 3381.4, 'Zakres obowiazkow_40');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (41, 'Stanowisko_41', 6791.54, 'Zakres obowiazkow_41');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (42, 'Stanowisko_42', 7174.47, 'Zakres obowiazkow_42');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (43, 'Stanowisko_43', 6026.91, 'Zakres obowiazkow_43');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (44, 'Stanowisko_44', 6338.39, 'Zakres obowiazkow_44');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (45, 'Stanowisko_45', 3509.93, 'Zakres obowiazkow_45');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (46, 'Stanowisko_46', 5862.85, 'Zakres obowiazkow_46');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (47, 'Stanowisko_47', 8089.26, 'Zakres obowiazkow_47');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (48, 'Stanowisko_48', 7917.25, 'Zakres obowiazkow_48');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (49, 'Stanowisko_49', 7646.97, 'Zakres obowiazkow_49');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (50, 'Stanowisko_50', 5918.15, 'Zakres obowiazkow_50');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (51, 'Stanowisko_51', 7928.42, 'Zakres obowiazkow_51');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (52, 'Stanowisko_52', 7600.49, 'Zakres obowiazkow_52');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (53, 'Stanowisko_53', 7762.17, 'Zakres obowiazkow_53');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (54, 'Stanowisko_54', 8111.65, 'Zakres obowiazkow_54');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (55, 'Stanowisko_55', 6131.25, 'Zakres obowiazkow_55');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (56, 'Stanowisko_56', 6371.67, 'Zakres obowiazkow_56');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (57, 'Stanowisko_57', 7391.96, 'Zakres obowiazkow_57');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (58, 'Stanowisko_58', 4456.28, 'Zakres obowiazkow_58');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (59, 'Stanowisko_59', 7155.29, 'Zakres obowiazkow_59');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (60, 'Stanowisko_60', 4180.48, 'Zakres obowiazkow_60');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (61, 'Stanowisko_61', 6241.43, 'Zakres obowiazkow_61');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (62, 'Stanowisko_62', 7811.95, 'Zakres obowiazkow_62');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (63, 'Stanowisko_63', 7603.42, 'Zakres obowiazkow_63');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (64, 'Stanowisko_64', 5813.7, 'Zakres obowiazkow_64');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (65, 'Stanowisko_65', 3867.93, 'Zakres obowiazkow_65');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (66, 'Stanowisko_66', 6048.61, 'Zakres obowiazkow_66');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (67, 'Stanowisko_67', 6406.11, 'Zakres obowiazkow_67');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (68, 'Stanowisko_68', 6609.85, 'Zakres obowiazkow_68');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (69, 'Stanowisko_69', 4393.82, 'Zakres obowiazkow_69');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (70, 'Stanowisko_70', 3176.97, 'Zakres obowiazkow_70');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (71, 'Stanowisko_71', 5215.35, 'Zakres obowiazkow_71');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (72, 'Stanowisko_72', 7433.54, 'Zakres obowiazkow_72');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (73, 'Stanowisko_73', 6185.94, 'Zakres obowiazkow_73');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (74, 'Stanowisko_74', 7990.37, 'Zakres obowiazkow_74');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (75, 'Stanowisko_75', 3413.62, 'Zakres obowiazkow_75');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (76, 'Stanowisko_76', 6822.59, 'Zakres obowiazkow_76');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (77, 'Stanowisko_77', 7535.08, 'Zakres obowiazkow_77');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (78, 'Stanowisko_78', 3114.62, 'Zakres obowiazkow_78');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (79, 'Stanowisko_79', 4579.4, 'Zakres obowiazkow_79');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (80, 'Stanowisko_80', 8356.72, 'Zakres obowiazkow_80');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (81, 'Stanowisko_81', 5319.0, 'Zakres obowiazkow_81');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (82, 'Stanowisko_82', 5423.09, 'Zakres obowiazkow_82');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (83, 'Stanowisko_83', 7892.19, 'Zakres obowiazkow_83');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (84, 'Stanowisko_84', 8029.93, 'Zakres obowiazkow_84');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (85, 'Stanowisko_85', 5055.61, 'Zakres obowiazkow_85');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (86, 'Stanowisko_86', 4524.49, 'Zakres obowiazkow_86');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (87, 'Stanowisko_87', 5451.57, 'Zakres obowiazkow_87');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (88, 'Stanowisko_88', 5513.29, 'Zakres obowiazkow_88');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (89, 'Stanowisko_89', 8415.94, 'Zakres obowiazkow_89');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (90, 'Stanowisko_90', 8297.53, 'Zakres obowiazkow_90');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (91, 'Stanowisko_91', 4421.3, 'Zakres obowiazkow_91');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (92, 'Stanowisko_92', 7962.39, 'Zakres obowiazkow_92');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (93, 'Stanowisko_93', 3906.75, 'Zakres obowiazkow_93');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (94, 'Stanowisko_94', 4445.74, 'Zakres obowiazkow_94');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (95, 'Stanowisko_95', 6455.68, 'Zakres obowiazkow_95');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (96, 'Stanowisko_96', 6878.83, 'Zakres obowiazkow_96');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (97, 'Stanowisko_97', 3058.19, 'Zakres obowiazkow_97');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (98, 'Stanowisko_98', 8161.63, 'Zakres obowiazkow_98');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (99, 'Stanowisko_99', 7164.21, 'Zakres obowiazkow_99');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (100, 'Stanowisko_100', 5037.84, 'Zakres obowiazkow_100');
