INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (1, 'Dzia³_1', 'D', 'Opis dzia³u_1');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (28, 'Dzia³_28', 'B', 'Opis dzia³u_28');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (29, 'Dzia³_29', 'D', 'Opis dzia³u_29');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (30, 'Dzia³_30', 'D', 'Opis dzia³u_30');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (31, 'Dzia³_31', 'A', 'Opis dzia³u_31');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (32, 'Dzia³_32', 'B', 'Opis dzia³u_32');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (33, 'Dzia³_33', 'D', 'Opis dzia³u_33');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (34, 'Dzia³_34', 'A', 'Opis dzia³u_34');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (35, 'Dzia³_35', 'A', 'Opis dzia³u_35');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (36, 'Dzia³_36', 'C', 'Opis dzia³u_36');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (37, 'Dzia³_37', 'D', 'Opis dzia³u_37');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (38, 'Dzia³_38', 'A', 'Opis dzia³u_38');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (39, 'Dzia³_39', 'B', 'Opis dzia³u_39');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (40, 'Dzia³_40', 'B', 'Opis dzia³u_40');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (41, 'Dzia³_41', 'D', 'Opis dzia³u_41');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (42, 'Dzia³_42', 'C', 'Opis dzia³u_42');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (43, 'Dzia³_43', 'D', 'Opis dzia³u_43');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (44, 'Dzia³_44', 'D', 'Opis dzia³u_44');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (45, 'Dzia³_45', 'D', 'Opis dzia³u_45');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (46, 'Dzia³_46', 'B', 'Opis dzia³u_46');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (47, 'Dzia³_47', 'A', 'Opis dzia³u_47');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (48, 'Dzia³_48', 'D', 'Opis dzia³u_48');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (49, 'Dzia³_49', 'B', 'Opis dzia³u_49');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (50, 'Dzia³_50', 'C', 'Opis dzia³u_50');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (51, 'Dzia³_51', 'D', 'Opis dzia³u_51');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (52, 'Dzia³_52', 'B', 'Opis dzia³u_52');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (53, 'Dzia³_53', 'D', 'Opis dzia³u_53');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (54, 'Dzia³_54', 'D', 'Opis dzia³u_54');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (55, 'Dzia³_55', 'C', 'Opis dzia³u_55');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (56, 'Dzia³_56', 'D', 'Opis dzia³u_56');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (57, 'Dzia³_57', 'B', 'Opis dzia³u_57');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (58, 'Dzia³_58', 'D', 'Opis dzia³u_58');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (59, 'Dzia³_59', 'C', 'Opis dzia³u_59');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (60, 'Dzia³_60', 'D', 'Opis dzia³u_60');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (61, 'Dzia³_61', 'B', 'Opis dzia³u_61');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (62, 'Dzia³_62', 'C', 'Opis dzia³u_62');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (63, 'Dzia³_63', 'C', 'Opis dzia³u_63');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (64, 'Dzia³_64', 'A', 'Opis dzia³u_64');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (65, 'Dzia³_65', 'C', 'Opis dzia³u_65');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (66, 'Dzia³_66', 'C', 'Opis dzia³u_66');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (67, 'Dzia³_67', 'B', 'Opis dzia³u_67');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (68, 'Dzia³_68', 'A', 'Opis dzia³u_68');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (69, 'Dzia³_69', 'D', 'Opis dzia³u_69');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (70, 'Dzia³_70', 'A', 'Opis dzia³u_70');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (71, 'Dzia³_71', 'A', 'Opis dzia³u_71');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (72, 'Dzia³_72', 'D', 'Opis dzia³u_72');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (73, 'Dzia³_73', 'C', 'Opis dzia³u_73');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (74, 'Dzia³_74', 'D', 'Opis dzia³u_74');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (75, 'Dzia³_75', 'A', 'Opis dzia³u_75');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (76, 'Dzia³_76', 'B', 'Opis dzia³u_76');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (77, 'Dzia³_77', 'A', 'Opis dzia³u_77');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (78, 'Dzia³_78', 'D', 'Opis dzia³u_78');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (79, 'Dzia³_79', 'C', 'Opis dzia³u_79');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (80, 'Dzia³_80', 'D', 'Opis dzia³u_80');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (81, 'Dzia³_81', 'D', 'Opis dzia³u_81');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (82, 'Dzia³_82', 'C', 'Opis dzia³u_82');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (83, 'Dzia³_83', 'C', 'Opis dzia³u_83');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (84, 'Dzia³_84', 'B', 'Opis dzia³u_84');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (85, 'Dzia³_85', 'B', 'Opis dzia³u_85');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (86, 'Dzia³_86', 'A', 'Opis dzia³u_86');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (87, 'Dzia³_87', 'C', 'Opis dzia³u_87');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (88, 'Dzia³_88', 'C', 'Opis dzia³u_88');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (89, 'Dzia³_89', 'D', 'Opis dzia³u_89');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (90, 'Dzia³_90', 'B', 'Opis dzia³u_90');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (91, 'Dzia³_91', 'D', 'Opis dzia³u_91');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (92, 'Dzia³_92', 'D', 'Opis dzia³u_92');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (93, 'Dzia³_93', 'B', 'Opis dzia³u_93');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (94, 'Dzia³_94', 'D', 'Opis dzia³u_94');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (95, 'Dzia³_95', 'D', 'Opis dzia³u_95');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (96, 'Dzia³_96', 'B', 'Opis dzia³u_96');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (97, 'Dzia³_97', 'B', 'Opis dzia³u_97');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (98, 'Dzia³_98', 'D', 'Opis dzia³u_98');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (99, 'Dzia³_99', 'B', 'Opis dzia³u_99');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (100, 'Dzia³_100', 'A', 'Opis dzia³u_100');
